"","Aindex","Aminus","Aplus","d(A)","d(Adual)","dualIndex"
"1",1,1,1,NA,1,2
"2",2,1,1,1,NA,1
"3",3,2,2,2,2,3
"4",4,3,3,3,2,34
"5",5,4,4,4,2,272
"6",6,4,4,3,2,35
"7",7,5,5,5,2,388
"8",8,5,5,4,2,274
"9",9,5,5,3,2,55
"10",10,5,5,3,2,275
"11",11,5,6,3,2,287
"12",12,5,5,3,2,39
"13",13,6,6,6,2,394
"14",14,6,6,5,2,390
"15",15,6,6,4,2,384
"16",16,6,6,4,2,391
"17",17,6,6,4,2,298
"18",18,6,5,3,2,283
"19",19,6,6,3,2,269
"20",20,6,6,3,2,385
"21",21,6,6,4,2,392
"22",22,6,6,4,2,379
"23",23,6,6,3,2,372
"24",24,6,6,4,2,352
"25",25,6,6,3,2,350
"26",26,6,6,3,2,333
"27",27,6,6,3,2,319
"28",28,6,6,3,2,216
"29",29,6,6,3,2,301
"30",30,6,6,3,2,143
"31",31,6,6,3,2,223
"32",32,6,6,3,2,317
"33",33,6,6,3,2,74
"34",34,3,3,2,3,4
"35",35,4,4,2,3,6
"36",36,4,4,2,2,36
"37",37,4,5,2,2,38
"38",38,5,4,2,2,37
"39",39,5,5,2,3,12
"40",40,5,5,2,2,56
"41",41,5,5,3,2,276
"42",42,5,5,3,2,54
"43",43,5,5,2,2,50
"44",44,5,5,3,2,45
"45",45,5,5,2,3,44
"46",46,5,6,3,2,286
"47",47,5,6,2,2,194
"48",48,5,6,3,2,288
"49",49,5,6,2,2,195
"50",50,5,5,2,2,43
"51",51,5,6,2,2,109
"52",52,5,6,3,2,193
"53",53,5,6,3,2,290
"54",54,5,5,2,3,42
"55",55,5,5,2,3,9
"56",56,5,5,2,2,40
"57",57,5,6,2,2,108
"58",58,5,6,2,3,167
"59",59,5,6,2,2,71
"60",60,5,6,2,2,64
"61",61,5,6,2,3,63
"62",62,6,4,3,2,273
"63",63,6,5,3,2,61
"64",64,6,5,2,2,60
"65",65,6,5,3,2,284
"66",66,6,5,3,2,282
"67",67,6,6,4,2,389
"68",68,6,6,3,2,383
"69",69,6,6,3,2,375
"70",70,6,6,3,2,370
"71",71,6,5,2,2,59
"72",72,6,5,3,2,281
"73",73,6,5,3,2,279
"74",74,6,6,2,3,33
"75",75,6,6,2,2,270
"76",76,6,6,2,2,271
"77",77,6,5,2,2,285
"78",78,6,6,3,2,378
"79",79,6,6,3,2,387
"80",80,6,6,3,2,377
"81",81,6,6,3,2,386
"82",82,6,6,3,2,268
"83",83,6,6,3,2,371
"84",84,6,6,2,2,266
"85",85,6,5,2,2,277
"86",86,6,6,3,2,351
"87",87,6,6,3,2,374
"88",88,6,6,2,2,267
"89",89,6,6,3,2,349
"90",90,6,6,2,2,265
"91",91,6,6,3,2,294
"92",92,6,6,2,3,264
"93",93,6,5,3,2,280
"94",94,6,6,3,2,369
"95",95,6,6,3,2,366
"96",96,6,6,3,2,393
"97",97,6,6,3,2,381
"98",98,6,6,3,2,373
"99",99,6,6,2,2,380
"100",100,6,5,3,2,278
"101",101,6,6,3,2,263
"102",102,6,6,2,2,261
"103",103,6,6,3,2,376
"104",104,6,6,3,2,368
"105",105,6,6,3,2,365
"106",106,6,6,3,2,354
"107",107,6,6,2,2,353
"108",108,6,5,2,2,57
"109",109,6,5,2,2,51
"110",110,6,6,3,2,166
"111",111,6,6,2,3,165
"112",112,6,6,3,2,358
"113",113,6,6,3,2,356
"114",114,6,6,2,2,382
"115",115,6,6,3,2,367
"116",116,6,6,3,2,342
"117",117,6,6,3,2,364
"118",118,6,6,3,2,341
"119",119,6,6,3,2,361
"120",120,6,6,2,2,360
"121",121,6,6,3,2,347
"122",122,6,6,3,2,262
"123",123,6,6,2,2,260
"124",124,6,6,2,3,259
"125",125,6,6,3,2,355
"126",126,6,6,3,2,344
"127",127,6,6,3,2,337
"128",128,6,6,2,2,336
"129",129,6,6,3,2,345
"130",130,6,6,3,2,328
"131",131,6,6,2,2,257
"132",132,6,6,3,2,315
"133",133,6,6,3,2,293
"134",134,6,6,2,2,357
"135",135,6,6,3,2,335
"136",136,6,6,3,2,312
"137",137,6,6,2,2,258
"138",138,6,6,2,2,256
"139",139,6,6,3,2,329
"140",140,6,6,2,2,255
"141",141,6,6,2,3,254
"142",142,6,6,3,2,310
"143",143,6,6,2,3,30
"144",144,6,6,2,2,252
"145",145,6,6,2,2,253
"146",146,6,6,2,2,251
"147",147,6,6,2,2,334
"148",148,6,6,2,2,311
"149",149,6,6,2,2,297
"150",150,6,6,2,2,303
"151",151,6,6,2,2,300
"152",152,6,6,2,2,289
"153",153,6,6,2,2,291
"154",154,6,6,2,2,322
"155",155,6,6,2,2,217
"156",156,6,6,3,2,302
"157",157,6,6,3,2,296
"158",158,6,6,3,2,212
"159",159,6,6,2,2,211
"160",160,6,6,2,2,207
"161",161,6,6,3,2,299
"162",162,6,6,3,2,295
"163",163,6,6,3,2,197
"164",164,6,6,2,2,196
"165",165,6,6,3,2,111
"166",166,6,6,2,3,110
"167",167,6,5,3,2,58
"168",168,6,6,3,2,250
"169",169,6,6,2,2,247
"170",170,6,6,3,2,348
"171",171,6,6,3,2,332
"172",172,6,6,2,2,359
"173",173,6,6,2,2,346
"174",174,6,6,3,2,363
"175",175,6,6,3,2,362
"176",176,6,6,3,2,343
"177",177,6,6,3,2,314
"178",178,6,6,2,2,221
"179",179,6,6,3,2,340
"180",180,6,6,3,2,214
"181",181,6,6,2,2,181
"182",182,6,6,2,2,209
"183",183,6,6,3,2,331
"184",184,6,6,3,2,313
"185",185,6,6,3,2,238
"186",186,6,6,2,2,235
"187",187,6,6,3,2,292
"188",188,6,6,3,2,321
"189",189,6,6,3,2,316
